videoId,positive_comments,negative_comments,neutral_comments
qld-ra6qkeY,13,3,91
u3RTMU8x8p4,4,1,92
2k9LgkaGyFs,49,19,37
V27McA7ch6w,218,33,102
OFJvrSWAwyc,5,1,57
tPzFWM_Xrrw,34,8,85
FMgaAIVFj60,2,0,59
2R5QGPJ5HZg,10,0,52
DVObNjIqZMA,10,3,50
U8xEZkCylds,10,2,105
S2ySxIJhkEY,5,1,131
qOkEMeooAwY,24,7,20
mfxUTHBvihA,6,0,78
ufsVztVTQWg,143,24,153
w46qYPrgK70,35,18,66
F49t7HR0D9U,6,1,52
76SK9WVFfTI,42,9,44
OL_T-1dPCE0,52,11,370
Lznxyqts1ac,69,78,132
bn_Fe_QqGmQ,3,2,48
ToqxyeRg_ic,26,14,21
TRq4gjYyjKw,173,47,145
9nd8pA2uLHE,7,4,90
8R0K7um2-dU,6,6,117
RU9TdbYXBrI,86,5,68
_inau5NGECM,13,1,62
gQeywajbfyg,32,6,296
iYNWwAC0xM8,39,10,264
MHzGqTgVRuQ,53,10,42
mVTA2rNcaaE,6,0,106
