channelId,channelViewCount,subscriberCount,videoCount
UCG0cXjFNhTx3sdfr5jFKN4w,372730,432,12
UCFMZTq_XRiT0ay4eKVLMQUg,213527,66,21
UCGZoh9a8pYAyGQTlal6nbeg,97812,1140,8
UCGpZQxGV4AqTccdFBXIvgMA,4849149,40400,49
UCHNdNCjHT-nvxMgRylvq-XA,341903,566,45
UCHhfu5p0zydyM-_nw3IJvig,142339347,1110000,1034
UCDkY9dx_ilN3tUlBhaWJLMw,90662271,216000,3534
UCH7rgilI2DEkKb6zG55voxw,3865344,8360,337
UCGbTqKi7pRp0DbYuX55O3TA,1318085,38500,132
UCETxOvOv9_44-CUzsPlzyxQ,87463255,994000,1164
UCEf5U1dB5a2e2S-XUlnhxSA,61981711,451000,1652
UCEdw9zYJzCviRU5Jf1QMjtg,2074,117,11
UCHj7VElFb0_sxhI5KHduM7A,44674795,413000,250
UCEUTgM6GtfKliRf6DvqDB_Q,63960615,429000,323
UCFWrVZXlCURRcsm7tti4Wsw,4506763,20900,284
UCKSMCtaqtSNxvXO77iqLF3Q,7305291,117000,88
UCJnO9cOnL_ACAn6tk17tmYg,930633,20100,25
UCIfe1juYd-atTo-MmPgmU4g,5799102,11400,207
UCJBiK71r1Om-uhhqeKg3h_w,684439,688,70
UCJ-hl32h5CokBhlGu95C1Xg,7630639,6070,132
UCJldhQxDDHyjngoY_Dx2kJg,85983027,260000,3212
UCIbK1WnGOiKD3IcTtJsREGQ,2130065,10500,187
UCI9J4UNaNzSoeaVxYMyAn2A,15694190,155000,281
UCJtUOos_MwJa_Ewii-R3cJA,42705236,616000,247
UCKB96A7eayr1L5hg60qcgLw,20739491,63700,2349
UCIWVXHJyW38V2LsUKVdlePw,33750542,37000,1521
UCISLGIU-F-ipp_E1JfY_lOA,42190160,175000,152
UCKcGjMso-IQYEunlZtMrA1w,85720,1050,90
UCHnkV1hjD98uX-eozi6O_bw,302701,791,6
UCJlTsLlBCSFBDp4feeFg8pQ,6257074,46400,280
UCIuhHKvnIbU1U7UAzVi056A,8762490,44700,2548
UCIdnqifJ12eVpnGDNMM1K0Q,188795,469,24
UCJf7AT2BzFT-31z0d-bc8Rg,31784682,81600,4862
UCNgf_uO1ffcm-FOwH-a-1Nw,8684353,80900,139
UCKilDtv4L7WWRq6rTvfwvIg,43015981,612000,405
UCNR623NFV3DbWpPTrA8cI_A,41133677,357000,245
UCNe3HhAxEG5SRIDJsUTKV2g,1138962,6800,93
UCOovr-96C0QdbYKqDFBXIlA,10017632,49600,442
UCLalTekgLYDpfg_RzsUIcYQ,10756400,21300,953
UCO66zvpQorlNfs_7hFCfmaw,34654967,398000,225
UCMbj5wPCBvGALjVnsWKcrIA,55541266,428000,586
UCMJMAjI-vtr9HHkTVcqCqxw,13841693,35600,1455
UCOVzlZ-BzsG_Wq8zcqXGrng,1539075,10300,173
UCN17O9A0wKJVHZjewWDm8lA,13565669,143000,64
UCNj2-kX0-d8SGpsqUCbm4PQ,1546509,5260,68
UCMP3-OuUG4AAvivyXlEOLVQ,105726337,336000,708
UCLf3xbgb3qAVExQqF6YpXOg,14084326,61500,175
UCNovoA9w0KnxyDP5bGrOYzg,119775185,620000,1604
UCOGNccIcTpnUEmH1tdSxKNw,2001554,11100,49
UCLbCz5jKuR2ClZTBdMBUjGg,25002467,114000,1096
UCNm7ZLPcq7IoJI0VF-H8z0A,1027115,3450,93
UCPLTE_WSn4Rhc2uhoyV55Xg,188002,3500,8
UCQCplH4xsy-1TVswUsGoB7A,241024,547,10
UCPWkciMAzq0VuHpMsPnKjTg,276148,237,16
UCQ-FeWeR__E4fCa9mWca1zg,1130805,892,527
UCQ5QNTODg0xfuM06QAoNHrA,18141227,200000,688
UCQ6fPy9wr7qnMxAbFOGBaLw,35780494,231000,445
UCQSpnDG3YsFNf5-qHocF-WQ,325170636,2590000,824
UCPayv2g1kxSkDjG3E9zzhUA,2137108,11900,209
UCP7WmQ_U4GB3K51Od9QvM0w,16035870,361000,1042
UCPR8d5zPiiz9IUhZQQyOv3g,5814561,31200,181
UCQAClQkZEm2rkWvU5bvCAXQ,1975547,12700,533
UCP_oaaQqr3r0jlxeHh_vE9A,398877829,1840000,1016
UCQAVCF_png4Z04xVPSad_Uw,4188363,31300,402
UCQ6qGzZJA36FMy_cYJkZCKA,16182940,128000,856
UCP6f9x4iXk3LH8Q1sqJmYPQ,575487048,1490000,4197
UCPx-kQDtVbSZd2IfohLaKQQ,9558025,44900,401
UCQ5MCWTRLA1_K6H71f3zsFQ,80642174,695000,2330
UCQXyxH0_34ySUctyGHcIQiw,6368868,100000,479
UCPAD3S_qaC9_nNPcXQXAXQQ,56602566,311000,1244
UCTpMxVHV8ep6Cxy2Zmiz9vw,29519,79,5
UCSMsxXvvi-7XvygtsMWRBOg,51149131,1130000,371
UCRhyS_ylPQ5GWBl1lK92ftA,64267798,564000,324
UCRtsB02133NK0VTIygA_pYQ,917850,9160,113
UCS3pqiugq53HFPYiWLPtdeA,14857483,70100,406
UCRGo-0E8thf9KsrNB3Mqhuw,8623178,8790,455
UCS-WzPVpAAli-1IfEG2lN8A,25641149,110000,503
UCSx_okh51d-KbwBA6vJVn6A,6250264,33900,114
UCSlUGRuenUT-aNjKRt9d5oA,48652288,145000,327
UCQu2CDkegk_NMmU645QbLZQ,8971237,17600,148
UCSsgTHh7k-EiFxR3xu27X_w,12580226,157000,92
UCQkd05iAYed2-LOmhjzDG6g,86675976,794000,319
UCQdVo2OZOxMLno5Qe59_c7g,2111960,17600,74
UCTVhaTYMoIAWnnGoB3zVVXQ,997480,6860,319
UCStmmIwKJr07qtnklgzDtng,14773240,107000,106
UCRjSO-juFtngAeJGJRMdIZw,15579345,189000,295
UCTR0dWhkNJv26d5i2Cg0AAQ,3538382,31300,133
UCUi5Xx9gkewLVej5Yf9Dpyw,78794,2400,15
UCVGOyzms_XJNk_DHqrffXCw,81329841,725000,475
UCW4kZA2qMcxEGAfG9Cxey3g,13264553,71300,378
UCWb-66XSFCV5vgKEbl22R6Q,28340508,124000,300
UCUIOITjBBNEXK21WIa3l1FQ,766493,274,54
UCUrYBZGlEOSD1_ds_HcNd6A,218530955,765000,3046
UCU876E5XzldL34k0ZtY3o9g,1807972,38800,102
UCVy-vHKZkh1vlLHWp955qww,8444215,54900,142
