videoId,positive_comments,negative_comments,neutral_comments
Tht4Btp-YWg,13,3,268
uBxaDpdEmNQ,7,2,111
5KLt-Td4zw8,30,7,24
893yHXdNUBQ,29,4,77
EueVu8cWQ70,9,3,101
fdG1m4Yn440,29,2,81
a_qa3VZ9sT0,1,0,195
vA1ss2xz5GU,161,22,127
fNvOOsbUdDI,0,0,103
VJBbuskkjU0,0,0,79
SXWfYpqY0hs,24,20,159
X40OaORMlFY,14,1,97
RkN0otDizOM,50,16,23
Nq92_5tubvQ,30,4,118
AZXfucwGJ6k,3,1,81
60rElpzHe5E,12,1,71
Hs-kAqy__EM,4,0,102
P4BLvUn_vGk,32,1,105
sN0Yc6HTamE,119,21,75
wuDeG-Uu70o,1,0,55
6wwj3CqGjnc,12,2,48
7n7orit9adM,89,20,92
VlZxm2m-KNM,35,5,147
zXSTBESLSF0,24,2,126
Jzc17bsSTUU,14,14,140
RNs-pWHYTYI,9,2,142
c7DYCUioK74,9,3,150
DgAi0GiZq08,33,10,306
9nLzFPE03zA,30,4,102
EECe-0AOWVA,5,2,370
T3pK6DIu4hM,3,0,72
Dw5V7funvNY,2,0,78
-NtcFlUrzGE,0,0,93
r2BZqAgUpUM,1,1,72
EQ_GvD_ZzyY,3,0,182
E_gd53Vr7HY,7,1,158
pHy6CnlzzU8,5,0,164
eOAqQYFkzS0,26,2,72
l1Lq5-Sa7Ow,10,1,310
qZ_hwI78y8o,130,14,262
eLwWc2vDtmE,10,1,112
V11v5O3hypQ,26,3,146
svMvpT-JDz8,0,0,75
bPvWXrgunFI,12,2,62
QldF2gKojfI,51,3,84
e5OYIyVbwUc,2,0,50
qNYpIndqBE8,9,0,52
x8BAm7wrP1Y,17,0,126
Y1kxazEWaDw,84,18,170
RZnkKQtvGAU,4,5,91
7eCjeNgI30w,0,0,51
g-Xl3yVympg,0,0,59
FbTGOEZqzP4,88,17,221
PJoJkVyTDKQ,16,6,87
hzOKN6tR780,217,27,164
8MrcHlHensk,9,1,88
iLQQ6494r4I,17,2,103
hsACfMbEp9A,17,5,118
8Anh2l7eRUQ,3,0,94
0gnhQyNlC6s,13,1,84
1QInGsqh1RY,28,4,75
2XqIpvdF15E,1,0,257
cS5W_ncwDIY,13,3,70
GtOzopM7Hlo,18,6,101
NwgwG-XyKnU,6,14,56
lM0uBNhCbTY,110,46,112
oO7quiVB_rA,11,0,50
um15vJbrjxI,28,8,166
WWw4vmePQ68,6,4,67
s8qL6LLAxks,41,19,139
SQkGFDNeOyk,19,0,43
Y9KgHIAmXMM,22,5,54
mM6bDT_1xN8,9,2,120
SdDhDiWUxxQ,10,0,414
NZAeU4Q_YXI,111,10,93
pAwAL8jAF8Q,16,2,114
fkhzLnTKe4k,15,2,44
XqN-FLrBg1s,21,9,139
IiyZaXz5w8c,12,3,79
m_iEFv_cYgU,37,1,371
jRMq1IK4Tds,12,6,47
WE2E-BIm4wg,7,10,60
QH5PEpVDTKg,51,12,34
zoffk1qbeLw,8,2,154
