videoId,positive_comments,negative_comments,neutral_comments
MCkDCNsaxYQ,155,81,90
tlmq5JsTuZg,4,7,135
-rUav2xddOY,58,29,216
LZzDXNb89Es,27,12,299
AE_wNsRq-Ls,71,19,117
27Jb7G0FPO8,76,18,29
hYwcglciwXw,19,10,77
itbEBhziU_E,5,0,96
hcPkf2kYta4,48,13,32
RtGrqJajezM,10,6,42
lpb7JC_7i0g,182,49,295
jvy6D1qlgsM,3,3,100
vxuvVg0hjCw,58,13,224
YUX3trjOJgc,142,28,78
WqqCOBtiEEY,13,3,246
-nNLjPVexiI,40,14,26
EXPJZ4zmltU,152,38,105
AjolXWRi4tU,13,3,118
IFYQRgNsiko,49,8,49
XKct48cLnCA,36,12,14
ZtH0JM-ILNY,134,58,119
IlypF1iCqjM,69,11,171
8l9Uc1SrqE8,10,9,37
QeliATLyxAc,21,4,105
fLNwkJMM8ok,20,6,97
XHGG0a0cOs0,60,22,23
ZC1CRRYrnTQ,40,9,209
ctBr26aiWUo,145,72,175
OYTNb1fliYQ,9,8,196
h4CVsXkeFVU,5,6,59
z-DBu_fg7uI,21,12,130
a8u2A_nAKZA,41,28,141
7UhPo5FLYQk,22,14,44
Leln2Zcn8ys,9,13,63
LxQUV4DyB_o,25,24,41
JHCqJ3_jz8o,42,3,121
13IR1W3vWu0,154,104,95
kS8ESU1qFNg,27,15,25
Gix90EmSH-8,13,10,71
oR7ppKp9XsA,15,8,57
4EKe4jnYFxQ,29,30,26
VDTxel_4o94,13,7,87
4vAAM_bOVcQ,48,31,11
zGit3enOnkc,37,21,30
iqyitygi8g8,24,12,178
wgYqfnE7gmw,59,15,13
bK3nDLVEr2k,29,22,34
COgvqcCRjQw,3,1,84
Y-lyhdIwGUI,50,9,10
2q7zMrgFUFk,70,21,43
rbv3dC1NCZs,55,9,97
NpZGDt1hQ3k,48,10,23
ItAGAQsoXYo,68,22,29
iBlS0zkIrro,7,6,56
IHczVHhFceg,15,8,212
IaKnWJaj_oU,18,10,180
eZiBeekBa8k,8,2,41
39-8kM7frtI,49,12,60
lA_B6JrIf4M,8,2,47
KjPHA_U1SqI,29,19,21
8W_XNMpfXPA,4,5,80
PadUCxGgy94,9,3,125
CsXTugJFqZk,33,14,34
rm64wSX29JE,7,5,76
ykdZ0__d98k,125,27,22
Kz7bmFi2bdg,26,3,78
f9YNMouMwp0,2,2,58
0fh1bZ3zEOI,34,9,12
mQ7nV9xiyE4,15,1,53
GfQ6JoUvvRM,29,19,8
IlWp9brT3ik,5,3,50
GCDtQfjufe0,33,10,9
nZKvVrBZKss,48,18,37
PVWAql7d6EU,23,13,15
