videoId,positive_comments,negative_comments,neutral_comments
exOqwBVEyK8,2,0,111
SF36i1M4Xjc,49,5,224
lquZJyVj3-I,1,0,75
hulSXjDGHmc,24,4,291
vQIh1cNmX9k,108,19,62
uRroN3DB7ZU,94,20,361
StUMOj81vQs,146,16,270
tdj-54TRv5w,130,22,56
XsBa8xBJlgs,53,14,65
KDvOmdKI1RA,29,4,120
v5CR-O-ur2A,2,0,125
69Ql0i2Ln3w,104,29,53
jbChyKamkig,24,8,105
USBz2IBi48Y,1,1,173
WPwfvTfJEZ8,88,50,254
EbHHCbFOxU0,43,13,409
4G1GGkalCso,81,13,49
ONeRNmZUk3E,34,3,175
xGEk95TsVdU,154,20,297
WPNWexdnW3U,21,12,83
mHc0jG6YqhM,282,59,137
rO5V_Gm9vZw,31,6,232
llQ9Rj-Mp3s,50,18,352
HXcx9ZqA1ng,174,22,345
sGOBgC54iR4,28,8,181
k_TaY-hPpUk,62,15,89
BNlNlTT8EEo,253,40,228
OBlYDkbokUg,34,22,18
Bi8BGIYIFQ4,29,9,138
ZV1MWmvtX3M,163,46,321
P6YuL8d87Ag,53,6,151
RNlX4ivXVec,1,1,205
G2V2PAI86Cs,30,11,440
fO46LZA2kxU,143,38,66
Pr0r2T5Pf1c,102,23,508
LykGjX-GIVI,66,6,189
zjY-UgDh64g,85,29,54
kvjcVtRWAoQ,42,0,332
3TOdJcYrYkQ,131,21,269
kTA9V4WWDLQ,22,3,148
Y_YklkUPe14,22,27,159
cpS1_Wvn7Y0,53,3,198
V8FahDMDmZw,70,10,268
fTJXycRTzUY,7,0,355
kL6R-aq2SY4,104,20,31
FM6-AquMjw4,102,22,287
AZ0febK8xTc,1,0,114
NtfsKGfAC6U,75,34,45
3qpor905e1A,2,0,114
HQClr7gD3Qo,78,27,364
Pr34tqM-scQ,106,25,47
NXW8eHaXlvE,72,16,33
GG_1pKV3sds,1,0,194
jDMkluEeCS0,26,5,175
zFQCUYv_K7U,7,0,216
ypOAHIN_9lg,145,31,111
dsBeJhs-RFI,22,3,132
jHW_4GtysGU,30,1,192
kNwwGmLSnD8,128,20,31
y4P8_4ld6z8,3,0,75
cISpUsKsLXk,43,8,226
WrDBKrefuAc,58,8,209
PrFNZNpA2TY,9,6,167
blDpceVzjvQ,113,21,23
c4lBCgFXy_g,0,0,135
EY3Yns5Wm78,58,8,168
NLX4heKmKWM,21,0,250
6sqaw7fBEGg,80,13,39
V7Jomu5rMU4,50,30,56
jiqAijH8U0o,100,13,55
WuF8lA96KNk,1,0,75
wcPccshVMCs,22,9,32
uhi6RotI2dI,94,9,77
hYMQP_edaLU,41,7,116
mTTvIUGEVtw,305,53,90
WUIaCftMu_0,53,11,165
uixmUHxG5Kc,13,5,195
fnhnBSveVgI,5,1,114
5ww95Lt3mig,23,7,258
Ct1auhXNmd4,20,8,178
w5_oaQbgW3I,3,2,131
ZT2WLTwGfCc,1,0,107
ittnQcHe7dg,84,19,46
ctxcMHMBw2g,54,9,183
Pl_F3hDvnj4,17,3,119
RhLQHLbkbAA,1,1,109
rjtB64DpZiw,33,9,20
yjOroYpIVyU,35,3,191
bFGyyymjnxU,34,8,146
isDuKxBaQCk,34,4,47
PqotYuo5rAs,29,7,319
Ff0ZXJr58hw,38,15,22
m6kiGDb2k1U,1,0,272
gyQCcz5WiEM,62,12,65
jwDm_ECWLls,58,4,444
lo0WEuh9g8g,96,40,65
PkeaOx4aJnQ,0,0,81
l_C71Id4c6c,22,6,180
QDTWqee8KvY,125,29,52
IPPhd0uBh1w,1,0,119
xrAuGdw8QN0,27,3,180
4KY9rIr0ifE,153,19,45
NHttIKEQO8w,33,4,126
34Lb22X9TNY,32,10,287
60TVzV9igiQ,18,0,67
0yaVXherDWc,12,2,62
ehH8VykT0EQ,52,22,60
juwfMuX_sKY,16,2,146
EAXiQtoVKZ4,19,6,107
DypBw2mhmqc,62,11,18
tvWmXu6eSyU,31,10,198
V3hg42mtMZI,8,1,121
