videoId,videoViewCount,likeCount,dislikeCount,commentCount
JkWTs1LG3DM,85487,1207,120,70
JtdJrNVlgdA,65134,660,30,62
JznvSXItOAM,131191,2001,154,218
KEQAAedOuQw,147686,3491,91,410
KFyEGUFY3eg,93020,4053,151,244
KPPzMRZmj0g,26547,430,8,56
KX1S6jw80lk,2,0,0,0
KZgchtPt4P0,122159,1206,83,156
K_XnCiVss74,69723,786,63,47
L7pZ0duX6dE,78853,2283,336,362
LEOATpJ2OXA,11472,172,10,43
LKW_DoUxDqg,95207,1800,57,129
LY9eWKdlUNc,38775,984,115,189
Laxbz3jY-Ko,55634,2246,40,206
Lb9lRWcn3OY,108003,2617,102,301
LxFMtMKjrrI,9025,167,2,97
Ly6bHhV3zAI,12120,119,14,23
M4An8jOKgpA,28499,1061,39,174
M76wi-f2p4Q,14280,145,1,14
MOipBARTRVU,197490,3760,124,198
MdPHhdFIJ0M,27564,468,23,70
MlLfq2ANdUY,107549,671,33,143
MloldYRR1g4,12970,103,5,25
MrZR4vuGhHI,10866,163,24,43
N6x_9qtrmos,482582,7479,181,545
NCJX5en6G7Q,455058,11282,531,555
NLjf31AOKAI,190254,3049,82,388
NU8Gpxxf_Wc,19577,264,20,39
NUw8jZl1hX0,723983,10677,336,1358
NWG5E75b3cc,287696,8972,245,607
NX7Cxo3EKKM,1,0,0,0
NcK4upEvqHg,464661,3720,234,375
NvrS_VvLXgU,217653,1126,143,94
O5Z-l-nSlN0,497332,5413,166,565
OJh284Nqj8g,120098,1952,46,177
OMPIpsGFnGY,40818,727,24,157
OZ2hMx2aejo,41243,1612,42,120
Ojs5fWmfCGE,425804,44139,462,1810
OnsVAfvS89k,134,7,0,4
OooX54LT3iQ,19836,149,17,21
OwxdHn9SuAs,120256,1339,59,206
OxpVB7iZ9eM,61960,1143,56,124
P1I1MYsp488,264256,2318,249,448
P4yc5HZ8G_8,410,13,1,2
PLuzWXV1-m0,33365,41,119,15
PSrKsUeWHo0,573312,5878,262,1023
PUXqlUVYnL8,127428,1543,89,74
PW4oa_KvCrQ,36310,1339,44,237
Pko-CaXpSfo,13925,135,10,20
Pr2QsBFx24o,144280,2727,91,352
PuSyvsksHTY,32736,256,24,40
Q8V-ZBd8ScQ,90108,1493,23,45
QNWUaAvOQzo,295428,4110,113,416
QQFnrnu9lwM,182012,3810,98,483
QpUztkV1jI0,823238,10071,236,766
QrEdmt32gPg,18626,115,18,58
QsvMxyNuwQs,101337,1966,571,345
R1CNwBzYqRs,584776,13520,612,3322
RMPTZRCyXU4,311318,3916,193,428
Rd6vZRzADC4,12640,255,26,48
Rdesb6uLd1E,14786,128,10,14
RdomH6o_s7c,172342,3429,124,321
RfQeZUg_i4c,17775,537,10,30
RvqiTB-sQvo,84757,3007,82,157
S2UA7EAL6ow,120,2,0,0
S2cUZCdTjmg,81221,490,31,45
SH_EALmha_Y,118202,1343,55,156
SLjmcPO4hVY,27526,82,55,9
SS5d7v6GHro,211581,7880,430,850
SnCejv2yle0,84625,4916,155,208
SpmJN_NoxLs,12004,181,29,46
