videoId,positive_comments,negative_comments,neutral_comments
GHsCBa2D4Qc,146,38,224
S73acBiJnhs,179,99,131
dVwL3U2wiV0,17,18,240
sZ16fsn4Jog,33,16,928
IPmjxBh3LcA,22,18,248
MLC0661y-o8,40,17,188
7pK5dVpgVo4,17,3,308
40mAECu-pcY,128,33,83
klnBngT4dFw,3,3,322
WG9gog0VywE,9,1,332
Y68sN0urIcY,29,5,322
t_L-SGDto70,27,24,437
wGVCNEsIN7k,18,8,558
iR6dB59iKwM,79,14,136
PWUGA_YRKHw,39,9,339
b1rguECjPa0,18,20,536
qY10nc8UQmI,51,19,257
z428MolYgZ0,26,22,305
wSS8ssTKLgA,18,10,641
HLBNneJRqXs,57,34,70
JwUdH6qKKwc,17,7,171
TsX7iz15hmk,38,6,80
0JLNKuEl4Bg,22,22,278
8buQXF6rn2w,166,59,92
YbbeQyKg4No,71,28,118
nLmoLQpI_Lw,29,25,347
HarDsCXn7i4,39,14,406
jHb0v5VmwvE,49,37,179
pm-syIUskZ0,24,11,250
M806vU885qo,245,62,144
luXfDJk_iNc,7,4,246
YofkHyuqoYI,6,3,256
68ZNmqlJIOI,69,34,145
yEa56iNs8-0,201,46,96
wnOF7yOr9Ko,101,40,61
2PHuS0f0EfU,5,3,85
QBiBC_HOTXk,83,37,88
n2sVG7YvFyk,93,13,994
G9JLK5y0iAE,29,9,239
TESRnDl1KlM,23,5,315
5fNUvV1brXo,9,2,290
GRa7UiFR9QA,18,56,170
plxeHShOgRQ,0,1,138
Q5guYjQh6uk,4,25,169
6PPURBqoJx4,6,4,392
4dTKh1OYQbs,207,45,463
LUcvuPariQ8,27,3,162
Ty3leTuWmIQ,20,5,285
zXIhMK9bEA0,0,0,67
5fKLyetRNkI,47,16,126
h-6BgRPsPXQ,32,19,49
0W36gBvn9JM,38,27,41
TIf4f1VjwEw,1,0,231
qO2tdxaI5Jg,58,29,32
YeCgdwUf5-w,8,1,246
j2EZLb2ZMO8,35,7,770
G4QfHfhgsEk,16,1,165
45oaxGHqwRo,18,9,205
cDl2OGGAoBQ,168,56,100
PABKYAVRQ4E,37,6,122
VOF2mJI9LcU,59,115,499
gCzyB-8RetU,15,1,251
fwwhKV7dqFw,19,13,279
VqvqdAoPkNQ,1,5,167
G6QOEDZZz6Q,1,4,275
U4-plZFX2pQ,0,0,166
tYPLdPgbHbQ,28,10,66
_v1dfZJoXsE,31,16,157
9UGPLt49LSA,16,6,534
iyxZiqMxuSY,18,3,54
XNQYhdCiZug,52,19,160
rdndexS8S9k,1,1,292
_PZsf__wr9U,0,0,91
I6cuq-P1xeE,29,95,492
hC_vox-M_Zg,85,55,680
x0bfJwJR3wI,38,5,177
xoDMb89aI1I,26,1,49
1eOCDaMRJZc,47,17,129
iFRYRow5GSg,219,117,128
LsxMjttRA7s,91,65,80
er2XBLJL9K0,0,8,174
ozjkSXfzymw,45,32,420
vrzJnd8Cz2k,17,13,193
RvmRgL89TuA,4,0,162
CJMhyR6CBMk,39,56,209
i22be86QFmQ,9,8,372
2GWPoB3S4BY,92,45,61
z7Cii13GuTY,16,14,456
DLRCz69m6vA,28,7,125
E8Vq7o2MndM,0,0,118
CUXu871S5iY,114,38,32
S6vDrQXVsZw,4,2,240
XOtLfNO18Ws,18,8,244
SWkc76zT10Q,48,17,31
ZTUk79oTT4I,20,12,372
2wPLZXrGpPo,27,8,275
Jq5R1yd63QU,51,45,583
niIzv9-cV3U,61,15,348
KORfrA_GhZ4,0,6,115
DAiLnLXvDGM,35,10,66
FPn2_Ae0tV4,127,48,74
vClPN6yW4pk,16,14,326
b4F9dm560ok,18,18,165
33zTHjLr4I4,170,60,63
6wogDKQiFCI,89,21,76
uYeaHASgQZ8,6,7,231
iY9AvAjCus8,34,9,377
yAQnmITbbJg,18,7,131
N5J2G45lvJ4,17,15,124
oOUTnCU5U0U,24,15,25
kDqMhAgmkU4,7,6,336
EziUiWkW_HM,238,97,155
G4Du6ad0eVY,0,1,101
mEnWvmfZaUA,90,23,46
M9LcX3T2-aQ,31,14,198
bmd3kQkzoVQ,21,3,117
fcm1eq49n9w,1,1,90
z-urPRxk8LI,7,4,361
bEjqJHbw2ZI,7,2,213
bAoGSbgghI8,64,23,46
EIjOJrfU77k,28,19,113
bjrQMOrwv9U,12,1,180
-NKB2ZQKUaI,13,10,196
ydlYO2ZB6BE,4,3,128
CVGxBS0HgUI,15,7,89
MLbL6_UQplQ,2,0,55
ttZIxgswQAE,186,49,67
26LZsXIGInA,130,37,47
aVAI8uuWuAo,28,10,24
g-pygDqwOGI,73,31,33
Q1EfXA-4W6I,85,23,252
mj9MPuywjmo,87,22,74
BCyz4rCHoT8,59,26,48
6ZWj0WbxCXA,14,4,98
IIrf83fvcyE,16,7,244
tICZnS_mp9E,9,1,109
t93jNM3bjMs,0,3,57
IEMRmGrIuI8,23,12,457
q6gz1Sa3--g,6,8,141
0BBNw6Y2zsk,2,1,65
IjTbUa1-DnI,60,27,403
q8PRgan0TIY,21,12,120
QPJa4F1GZH8,27,6,50
CZYSMKEfrjg,8,13,170
zceF-vRF1dA,56,51,339
_FjUYOmEwKQ,7,3,63
riXwubUwcH4,12,1,128
a-qOlYANero,5,5,90
h0lb1IVrp_E,4,70,160
pyGxPrTkhsc,12,10,184
SeGlbtmPwCs,23,11,78
T10Ie-94PS8,45,16,13
EKoF5mS-L3k,14,7,73
Yy2t3TP_3Ic,9,9,105
imaI5pJjB4o,19,22,90
MM0IDIkfcLo,17,8,104
74cPF6KcIB8,0,1,73
oOQiVHEn5G4,24,28,154
jGf1e09odaY,9,1,242
TQsA2-xMk4E,10,4,100
S0v0SbOHJMo,159,43,494
faD3LeR8twU,8,6,96
TOJfFcIQ9Es,30,4,50
YM59KURQHq8,8,3,42
QkzT5EwEAG4,2,8,166
BalKQ12atHI,3,0,116
yn01_B_SWxQ,9,9,186
U-NM9YdWG-I,23,8,291
tf5B7idvbVo,6,1,139
GRbl8zknncM,121,87,228
r5IRJzfuHE4,13,4,144
D37ScYeCrFg,7,4,321
mKokW-D0TpM,22,14,210
v1wYxc26RVY,90,23,37
8FCZ0bII-Js,7,0,108
2-sAqf5RKqw,7,0,185
mLYfMEbMC4U,9,6,99
J6n1TSQw73c,114,62,74
fX6mCi4J3MM,23,18,286
JaX35TbtLeY,44,17,62
Q79XAUrFD1o,14,5,114
4K24Go2pGS0,3,4,70
y0H9g64N6q0,83,20,83
r-MSfhYhNuo,106,24,43
JkYGf-4i6aY,1,3,65
1K0HorZx0Nc,178,35,210
L8uOufx95cQ,15,19,81
WXf1iLnAniw,17,93,165
Vrg3bndWtWI,1,0,94
HFDZxu5m7II,4,7,134
70LBx2vPqNM,12,41,112
l11QScfGmio,12,19,111
Fal_p_c_frI,3,1,57
aoefZOW3Qt0,11,0,57
yTzZ4axBJdg,10,3,82
xhbU6HbeYSo,16,4,52
VVMieddBCk0,6,2,47
x9xmwlxCFbY,7,2,56
AHsElRowKZM,12,8,121
hygDmogbjc4,52,17,39
Gx1BtFG85k0,2,3,142
SuggA_q21IY,5,2,76
goNBFfHCoT8,25,7,158
dQldgaMtdNg,62,21,139
y08yvn6WtAQ,12,27,88
fyArCzlmiKM,105,31,213
tM-Y-q1wHzY,6,4,66
Fckak8zhr-M,3,6,78
If1Lz0Axnxc,5,4,49
Ffh-heitUYQ,14,14,149
rhvz0_VPlZg,9,7,71
HfnOWar3CpI,42,14,15
XSTI6rC2DDk,15,9,115
o8eL4kLMtFk,6,1,88
zA8n3shPEgA,5,7,51
0cm8YPqasVk,1,2,89
EKTRzQ62FZ8,6,2,94
