videoId,positive_comments,negative_comments,neutral_comments
aK3CLN2UOog,23,10,258
WcFK5pvzTlA,0,1,114
xvXwGczvbyM,2,0,88
hUrl0PRIg1w,214,32,127
96Ri6EjRALI,1,0,146
z3hg9LIpSvI,6,4,241
V91NS1JGq5w,40,5,131
hiPFY4MLKPY,49,5,130
1cSwVcv9InA,17,7,44
VVtQfsXLnSA,148,57,110
j6rJzeVXAXY,1,0,79
8XVqgobLIps,25,5,169
pJsGb-wOxL4,30,6,128
SndWxRaMzxA,91,15,42
zbESrIq2fSE,34,6,103
1eGS2ynjdYA,9,3,135
P01WSeJod3M,11,4,147
SSAN_o4r5nE,29,14,295
L_S-E_g910w,14,2,45
kj5dCj1W4V0,33,4,135
r3Bvji8SdKc,27,12,166
VdwTfi3Jv4o,39,5,68
2lIi4xL6NxY,15,0,54
L2d938lHhyM,28,12,125
cQRaokSO_j0,121,12,193
vfCLGZMLY9Y,0,0,80
wG_v20mQGGE,96,30,75
5bHUsFvLls8,182,44,128
hLIuWo0hX8s,25,1,101
RSQP7SNHmr8,0,0,62
mGPkEzHVDo4,1,0,98
ldkuFSg2GgI,25,1,81
2PrS1bgCq_A,76,14,138
pFuP-FVLtgo,0,0,61
fCpJWoMM8PU,28,4,116
uCl62JM9XTw,23,2,144
zEI8srbUq_4,23,14,224
YqLueJ0hDV8,13,3,66
S2mzgigH_v8,12,6,76
t6iCVNpRMPQ,18,4,82
eGot6yKIIBs,10,2,42
s3nmVu8bUxE,94,17,50
HYufbE_b6sQ,1,0,94
a7YUCNTe_Y4,19,3,646
JXryWofZL4I,52,16,29
8JQm2cbQaj8,0,0,144
90U6nMm0m_I,18,0,83
9HLk38y7h0M,60,17,26
4wW5sEA3M5Q,23,3,147
L7EU76WsaBQ,26,3,111
PlNjLu10wVY,3,0,210
6cIP-iO8kNo,18,2,123
RyykXaWSobs,39,5,86
HzNqaexeNis,179,31,127
rzAJZud-QOo,118,34,65
gJfFWnHqPMs,25,2,86
mL6oYUp1Zsc,11,3,205
_VQbiJewUrQ,71,16,53
2_ZYWJJntjU,54,20,53
NT5Y2p0l6CY,185,39,214
YkYtUCUEsR8,12,6,59
8dfl22rNxxM,13,4,47
IFc6YrqGp54,80,24,39
tl6jfTWCEa0,23,2,81
kCQ9WHnE89c,1,0,135
BvcovPltk1o,2,0,158
b4qofQucnqg,9,4,106
QQtfirO7zNg,10,0,56
rUux4MQQl0o,4,1,80
VPjhz9Ho6DQ,21,2,105
pGvBZ4i2JEE,84,33,88
mBLPHjrTDXw,31,21,208
QD5oDJ_Z_to,5,1,125
U4CbM2BxRq0,0,1,99
oG3ZzLPaQDs,42,9,15
9zViaGQcSM0,0,1,76
