videoId,positive_comments,negative_comments,neutral_comments
jikEh9acOIE,33,7,28
EaiBuCgGVIU,30,3,109
qeEfHuBUdb8,76,21,72
U-eg7Lubeg8,15,3,72
oEr5iDYlgEM,101,26,53
Uxqk9Z8NkQI,85,18,41
lvCbk9Izswo,36,7,18
icQDJdo_sQE,46,19,30
U4cZ_GGB6Nk,69,10,390
IBuU2_qzYtM,40,5,18
XjYHDrdFxI0,29,14,19
iD-U_Ngqzyg,17,3,67
8VJibjmfya8,13,6,66
cvpq3noPd-c,4,2,86
VCxNuO2ej7c,5,1,74
dAB2Lza7lmE,12,2,105
Laxbz3jY-Ko,43,1,71
zvT0qmmCcQE,94,32,44
tAhUl3uITzM,47,3,8
WSTOX0sPOYM,45,4,142
HeGhs94y69s,29,13,16
fthbbLAleok,3,0,48
y0uP4qRkUEc,2,0,107
71KwTqgjGnw,5,2,98
YbAOeDMdsak,46,10,19
YLnog7FTwCk,30,0,102
uZ2Az3EYrlc,70,26,32
7n_YP33tua0,13,3,49
E7gFqp5Ta98,54,7,15
OZ2hMx2aejo,3,2,74
OMPIpsGFnGY,40,11,24
LY9eWKdlUNc,67,21,30
1xi2tCIk8Zw,4,1,66
DRQaM45HmqA,23,2,66
UZqfXsSfKh0,53,4,135
HmzAUF-5FO4,25,1,114
PW4oa_KvCrQ,33,23,28
gKuCJ248EFo,3,1,53
HpQLqDPDTmA,69,17,43
c_ZQMyehCcY,14,2,37
3FqFaiZUCRw,73,8,17
wPK-7zTSuzo,7,4,71
eC-pzorUvyY,88,13,19
XGDPrW75TJ4,11,1,59
CLa3aLhPHkM,26,10,17
3tyBIimLTx4,14,5,44
M4An8jOKgpA,8,2,63
J8Gi5FIuXEg,30,2,52
HbvOCjt4GHg,51,13,48
ZjxvTeJG2FQ,24,4,63
YuGLkwtBNcc,45,5,15
VzBgjGzeqkc,3,4,75
pxLf-hJZ9oY,116,21,25
b0ZEg3RBM-c,9,1,76
kQvR9Lw7E8E,1,0,157
iRJyV4Bc_Ww,42,9,20
cMfZa2BLEXY,21,2,52
6A_ZK4U-wzU,32,4,44
2-2CqMIsUWw,36,8,23
jTkgBspM0-k,50,11,36
EyHrLSjaUGQ,0,0,95
