videoId,title,channelId,channelTitle,uploaded
H-Zx3X7kplI,"Google Pixel 3A Quick Review ⚡⚡⚡ Amazing Camera, Nothing Else...",UCEPL07qzVsOcHd3sMUws65g,Trakin Tech,2019-06-10T06:12:26Z
y0u8Of_-tQc,Google Pixel 5 | Unboxing &amp; Full Tour,UCVLN0tY51ewH44wUtx3YZTA,Tech Spurt,2020-10-08T21:05:26Z
j0TVgxaLmhs,Google Pixel 5 vs OnePlus 8T vs Samsung Galaxy S20 FE - ULTIMATE Comparison! | The Tech Chap,UCzlXf-yUIaOpOjEjPrOO9TA,The Tech Chap,2020-10-14T15:37:23Z
uWwQJAUOBoY,Dua Lipa captured on Google Pixel 2,UC-J-KZfRV8c13fOCkhXdLiQ,Dua Lipa,2018-01-05T12:59:09Z
FEdhF4KeekA,"Обзор Google Pixel 4 — камера, камера!",UCRP4EhX1Op-jL7D87PB3qhQ,808,2019-10-24T16:12:08Z
E7LdZSzcdYI,Google Pixel 4 Officially Haram Dekat Malaysia,UCtRBfxZcIedVEjSU6FnVjow,Fazli Halim,2019-11-24T15:35:32Z
HUWd-n0JRGY,Google Pixel 5 and 4A 5G: Which should you buy?,UCOmcA3f_RrH6b9NmcNa4tdg,CNET,2020-10-01T00:39:54Z
oa6zIEOQw_U,L&#39;iPhone &quot;Parfait&quot; de Google : Test Pixel XL !,UCJy0lX8ThZ7lCtst7JnegWQ,Jojol,2016-12-03T16:00:05Z
4OqiKMqJrUQ,"2Gud.com | Refurbished Google Pixel Only 10,000 Rs.",UC3hNf9tl-m8Kf7XvrxXdviA,Prince Chandra Tech,2019-04-23T18:23:28Z
-Se_HrAfFz8,Pixel 5 Review: The Google Phone Grows Up,UCSOpcUkE-is7u7c4AkLgqTw,MrMobile [Michael Fisher],2020-10-15T21:19:04Z
KKd8dYEE-Bo,Pixel 5 and 4A 5G review: classic Google,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2020-10-14T15:00:06Z
kUL2bzq_iPE,TE ODIO!!!!!! Google Pixel 4a review 😍,UCok_yhjwg4WSx3s_2Yh8ZjQ,Topes de Gama,2020-08-03T15:00:28Z
jUCHe3yoE58,Google Changed EVERYTHING With The Pixel 5,UCdBK94H6oZT2Q7l0-b0xmMg,ShortCircuit,2020-10-16T19:00:41Z
pOPfFcAw7mI,Google Pixel 3a: This Changes Everything,UCSOpcUkE-is7u7c4AkLgqTw,MrMobile [Michael Fisher],2019-05-07T18:28:37Z
Y3UBwNxHhrQ,Recensione PIXEL 4 e 4 XL di GOOGLE,UC5yXB_ThsufRJYMRlzIGoeQ,andreagaleazzi.com,2019-10-21T13:00:22Z
QOU9nAzHY7I,Putting The G in 5G | Introducing the new Pixel 4a (5G) and Pixel 5,UCIG1k8umaCIIrujZPzZPIMA,Made by Google,2020-09-30T18:31:08Z
f5AM6ZOBAzE,Google Pixel 4 がキター,UCVPz_nauEJpqPxxvYiOpCHQ,カズチャンネル/Kazu Channel,2019-10-22T10:00:06Z
ZU1QyX8KdyM,Обзор Pixel 4a — самый приятный в 2020,UCDF_NIAEkcAUvzxe1DUzaQA,Rozetked,2020-09-23T17:18:16Z
M77bSscDJpo,Google Pixel 3 XL Unboxing / Распаковываем Google Pixel 3 XL,UC14LX5eM9ey-qWISzbtc9bw,In DIGI,2018-08-24T17:43:40Z
aMQdBviVIDI,Pixel 4 XL | تجربة أول موبايل مع رادار,UC1FYFqgdW_1LueJTmXn-8cg,Omardizer | عمرديزر,2019-11-03T21:13:13Z
c_JtG4YV0gQ,1.000 dolarlık Google Pixel 3 XL kutusundan çıkıyor!,UCzNu79N8Lq1wUY52MkhWKSA,ShiftDelete.Net,2019-02-17T09:18:40Z
bmMtUjSf9GE,ПАН ИЛИ ПРОПАЛ – ЧЕСТНЫЙ ОБЗОР GOOGLE PIXEL 3a ЧЕРЕЗ ДВА МЕСЯЦА!,UC1qWaT8_iPHSBYgB4T2ltuA,"Ай, Как Просто!",2019-06-24T19:00:38Z
nr8Um2aJr2c,Is the Google Pixel 5 Really made of Metal? - Durability Test!,UCWFKCr40YwOZQx8FHU_ZqqQ,JerryRigEverything,2020-12-02T14:15:03Z
8xbhenu-t7k,Google Pixel 4a - Leave it or Buy it .........!?,UCS261lQDXjMvc8Jck-2CQEg,Gyan Therapy,2020-10-18T16:57:58Z
Mek1EfLFOHQ,Meet Google Pixel Stand,UCIG1k8umaCIIrujZPzZPIMA,Made by Google,2018-10-09T16:18:54Z
FwvIUa7i_6o,"Презентация Pixel 5, 4a 5G, Nest Audio и Google TV за 10 минут",UCDF_NIAEkcAUvzxe1DUzaQA,Rozetked,2020-09-30T22:51:20Z
CgLddTYUbxY,Google Pixel 5 — первый обзор!,UCRP4EhX1Op-jL7D87PB3qhQ,808,2020-10-17T14:00:21Z
WbJXcMlxJiM,iPhone 12 VS Google Pixel 5 Camera Comparison!,UC9fSZHEh6XsRpX-xJc6lT3A,UrAvgConsumer,2020-10-29T17:32:14Z
C2WS16oH4kg,Vật Vờ| Google Pixel - siêu phẩm xứng tầm đỉnh cao của Android,UCEeXA5Tu7n9X5_zkOgGsyww,Vật Vờ Studio,2016-12-13T12:30:01Z
Hwol2HcwOyY,"Mở hộp Google Pixel giá 1tr9 đặt trên LAZADA, SHOPEE. Máy ngon sao rẻ vậy? | MUA HÀNG ONLINE",UC3T1mVM83MM8K-ht9XGs5lw,Lâm Gia,2019-06-29T06:26:50Z
Z3kbA2Sw6pA,Купил Google Pixel за 7500 рублей c Алиэкспресс!,UCZOINootuIq8tmgEY5Znj0g,РасПаковка ДваПаковка,2020-07-18T06:20:01Z
q8brN7gsz5s,Google Pixel 4 y 4 XL -PEOR IMPOSIBLE-,UCYkoAtIMi6oFG_8SO5YrauQ,clipset,2019-10-21T13:00:11Z
5qfF8anJSgU,"Dulu 10jt Sekarang 2jt, Investigasi Google Pixel 128GB! #investigaphone",UCu_97c8LGl_tvHfIIfOtM9A,Pricebook,2020-07-19T03:00:00Z
bYlYie_YGnk,Google Pixel 4 XL Kutu Açılışı - iPhone&#39;un belalısı elimizde!,UCzNu79N8Lq1wUY52MkhWKSA,ShiftDelete.Net,2019-11-11T12:19:49Z
cp57VzOjjrI,ПОЛГОДА с Pixel 4: Что я понял?,UCY03gpyR__MuJtBpoSyIGnw,Droider.Ru,2020-06-06T13:01:13Z
5TzzrcgKNDU,Recensione PIXEL 3a (BEST BUY) e 3aXL,UC5yXB_ThsufRJYMRlzIGoeQ,andreagaleazzi.com,2019-05-07T19:00:00Z
JN2dOUMDQjA,Unboxing Extreme mit Katjana Gerz &amp; Google Pixel 5 / Folge 12 (Gewinnspiel),UCADnh3VJByvXV-FPvP8yIug,o2 Mehr O,2020-11-18T14:00:06Z
ZpymGfDnc6c,Our full Google Pixel 4 review,UCbLq9tsbo8peV22VxbDAfXA,GSMArena Official,2019-12-09T17:24:56Z
ChoeiT2kQao,GOOGLE PIXEL SEKARANG KOQ GINI,UCHCefPqqxuvFsNycaJIXASg,Sobat HAPE,2019-11-14T11:36:16Z
3qzl7NPA4j0,Купил Google Pixel за 13 000 рублей...,UCQWeDEwQruA_CcyR08bIE9g,iKakProsto2,2018-09-26T17:00:00Z
