videoId,title,channelId,channelTitle,uploaded
pA_QuOGEqp8,جهاز جوجل؟ هل يغنيك عن الـ PC و الكونسول 🤔 | Google Stadia,UCx4H1gtwgO3hvEFA2lQhZ5w,Reybad - ريباد,2019-03-20T18:00:07Z
o5nKJaARd3A,El accidentado lanzamiento de Google Stadia | ¿Un servicio muerto en lanzamiento?,UCzGMBzt6UOMoQe_dqOfShZw,Cultura VJ,2019-11-24T03:55:05Z
8iH_eFCbXmE,PS5 NOW VS Google Stadia,UCX77Km4pLRsU9OFYEMdIvew,TheGamer,2019-10-23T22:36:08Z
Hbd9uKZPmb0,Google Stadia Price Reveal - Huawei Goes To Russia,UCXv-co3EYHF7aOH4A93qAHQ,Lew Later,2019-06-07T13:57:51Z
FYFLF3uiSA8,Google Stadia&#39;s Attempts To Attract Developers Are Worthlessly Pathetic,UCWCw2Sd7RlYJ2yuNVHDWNOA,Jim Sterling,2020-03-05T18:30:45Z
ePFzCMvAeBk,8K i 120 FPS na słabym PC? Co zmieni Google Stadia,UCtGnMWpCcoRZVWxkVKp3Ulg,TVGRYpl,2019-03-20T18:15:00Z
8ATutWS9FeM,The True Potential of Google Stadia | Ashens,UCxt9Pvye-9x_AIcb1UtmF1Q,ashens,2020-02-21T21:30:01Z
Q_dggN2rN3A,Google Stadia Announcement Trailer - GDC 2019,UCKy1dAqELo0zrOtPkf0eTMw,IGN,2019-03-19T17:27:50Z
kIeut9CUCKg,BITS: Google Stadia fracasará porque no entiende el gaming,UChXHOzuSXAGZSDEWHOEk84g,levelup.com,2019-08-22T21:49:23Z
Fi7_pSwuqu8,Why Google Stadia Just Can&#39;t Handle Fighting Games,UCfqq4uagW1M5-2wsX4YqOCA,Stumblebee,2019-12-09T17:01:31Z
utAZvV9E7AY,Google Stadia 7 months later: Is it worth it?,UCgyqtNWZmIxTx3b6OxTSALw,Android Authority,2020-05-16T13:00:28Z
d9rUEBpnEiY,I Played It! What&#39;s Wrong With Google Stadia,UC4_bwov47DseacR1-ttTdOg,boogie2988,2019-06-14T20:47:48Z
sk5yi6nbtMI,"Почему Cyberpunk 2077 получила 18+, новые игры Google Stadia, дата выхода Deadly Premonition 2…",UCq7JZ8ATgQWeu6sDM1czjhg,StopGame.Ru,2020-04-29T02:30:51Z
s_Ds8x7fSMY,Google Stadia Game Prices Are Hilarious,UCoIXnB865l9Ex9zs4OIXTdQ,Spawn Wave,2019-11-19T01:39:18Z
BEjixL7bfQo,PRIMO VIDEO con GOOGLE #STADIA!,UCSFC5Cio8zaLQDFPxA7y_HQ,FavijTV,2019-12-23T12:45:00Z
M4x-w7fA3bI,¡¡¡MI EXPERIENCIA SINCERA CON GOOGLE STADIA!!! - Sasel - founder edition - nube - streaming,UCF3Ez6QwZwwr_E7RZGJMW0A,saselandia,2019-11-20T18:44:09Z
oVa9Mqq-DYg,Google Stadia vai nascer falido?,UCJAbkIY17zAmCTNQHH0bQoQ,Gameplayrj,2019-07-28T21:00:03Z
cZg5VMWW750,Google Stadia Connect E3 2019 Presentation,UCbu2SsF-Or3Rsn3NxqODImw,GameSpot,2019-06-06T16:32:48Z
ai1vI5TPtDo,El PLÁSTICO de Google - STADIA Founders Edition,UC8679JjreNLfSCgA-2Fb4kA,SpineCard,2019-11-29T21:59:19Z
s8KmFce3rEk,Google STADIA - Wirklich ein Flop? Mein Praxistest!,UCJZnRJATAFN5rbXpewp7Vyw,mpoxDE,2019-11-21T18:35:29Z
9Y-wZ4xWpLc,Google Stadia Instant Access Demo - GDC 2019,UCKy1dAqELo0zrOtPkf0eTMw,IGN,2019-03-19T17:33:18Z
Dl8YpMo72VE,Stadia Connect 7.14.2020 - Check Out New Game Releases &amp; Announcements,UCQKyy9Wl7hsVn1BP7BC53Yg,Stadia,2020-07-14T17:00:02Z
