videoId,videoViewCount,likeCount,dislikeCount,commentCount
K75x1CD_LH0,24627,1300,46,160
K8wV5JAuKWo,28884,4643,112,615
KGkEHt9P7sw,29093,3188,75,460
KMNhlnDnoog,24827,578,19,81
KW3xCVkmcts,7592,615,15,87
KXwyR1X0pk8,257097,8370,437,698
KYkr-wXnRQc,435620,21366,604,949
Kb_kIq5tMGQ,1120896,128564,1778,149380
KkyR57a3M6c,10996,570,5,162
L-PGbB8krEM,88998,762,73,152
L8QrW8aadI8,452654,12486,382,1891
LIOyXmzy7qs,17949,947,121,213
LMFOlsQbB-c,78804,65,7,7
LiDIf-xnmxQ,11906,759,34,38
LtcOMY4Fjbo,285693,15480,71,563
MEwdW7HGHFE,637862,38280,1128,2649
MKztAoL21vA,237836,5444,67,397
MTm8S8Ho2j8,27509,425,37,72
MX9D00-jBRA,109580,5769,44,168
MZ93FSRNEdg,19281,1490,33,91
MfvyrhP_hxs,11605,1006,49,254
MlKhM1SAHgg,50752,765,53,78
NM5GHAJiuAc,71255,1956,42,325
NZAeU4Q_YXI,36743,2473,39,303
NcxG-rhInvg,77596,3246,87,464
Nd4wx_y3xgs,339516,9911,147,388
Nd8IeiwHjo8,369514,20196,695,1081
Nq92_5tubvQ,71762,2657,96,284
NtYwRgGaUAs,24708,177,18,18
NwgwG-XyKnU,41621,946,26,141
O970b8je82Q,101566,787,228,185
ONd11elsm6I,26135,1831,47,88
OXU8EaElESk,79633,679,64,144
OsusjYZQ8yM,16351,1079,117,125
P4BLvUn_vGk,70613,2760,43,262
PJoJkVyTDKQ,49463,1769,186,163
PRm9KjR_vnQ,27044,2006,46,107
P_nSnGJSWOQ,29484,608,39,100
PeeC_ixAdpI,16278,1068,14,366
PsMqt7LFEwQ,10717,254,14,23
Px55qI_83-0,39247,317,27,30
Q0JFSfXQ_Q4,209108,5181,132,843
Q5cjGD_diSQ,26713,1815,15,441
QH5PEpVDTKg,33100,1123,27,187
QPZOU6KsZRI,715532,17881,462,1364
Qc8yqHrHqqE,206418,2271,90,376
QldF2gKojfI,55456,2511,51,253
QvXMt_CFAqg,22650,2098,20,208
R7hDLOBanWM,151659,25185,300,1036
RE2Px2FRlAI,75334,664,133,92
RGq7MqTl5sQ,491463,11469,631,2156
