videoId,title,channelId,channelTitle,Date,videoViewCount,likeCount,dislikeCount,commentCount,channelViewCount,subscriberCount,videoCount,positive_comments,negative_comments,neutral_comments,stock_price_before,stock_date_before,stock_price_after,stock_date_after
lohmYNFdBwo,Kamerasıyla iPhone X&#39;un Karizmasını Çizen Telefon: Google Pixel 2 XL,UC26buublzO30XpR-KP2TfAw,webtekno,2017-12-11,778638,13962,532,1336,818583548,3110000,1250,59,2,691,1049.3800048828123,2017-12-08,1072.0,2017-12-15
m9jbVsPjFG4,Google Pixel: o review completo do smartphone! [Análise],UC_bXJnsgwOqEPA_-6N6faKw,Canaltech,2016-12-10,767523,28204,436,1331,447867145,2610000,4037,50,12,644,809.4500122070312,2016-12-09,809.8400268554688,2016-12-16
U7Fcnjc1H8I,Google Pixel 4: A MELHOR CÂMERA DE 2019 com um preço premium [Análise/Review],UC_bXJnsgwOqEPA_-6N6faKw,Canaltech,2019-11-19,225132,16104,247,320,447867145,2610000,4037,10,4,109,1319.8399658203125,2019-11-18,1305.6400146484375,2019-11-25
Bafgp2GHmew,マサイが初めてガジェット紹介するそうです【Google Pixel 3】,UCs4KWxdP-lRc-dgLXE5i8Wg,Fischer's-セカンダリ-,2018-12-22,766803,21468,455,2817,1506032096,2490000,1264,9,0,779,991.25,2018-12-21,1046.6800537109377,2018-12-28
oEulTCmc700,Полный обзор Google Pixel и Pixel XL,UCDF_NIAEkcAUvzxe1DUzaQA,Rozetked,2016-11-14,761251,17374,476,1147,286793409,1240000,904,19,7,451,771.75,2016-11-11,775.969970703125,2016-11-18
ZU1QyX8KdyM,Обзор Pixel 4a — самый приятный в 2020,UCDF_NIAEkcAUvzxe1DUzaQA,Rozetked,2020-09-23,416414,35853,967,28404,286793409,1240000,904,31,3,748,1459.8199462890625,2020-09-22,1466.02001953125,2020-09-29
FwvIUa7i_6o,"Презентация Pixel 5, 4a 5G, Nest Audio и Google TV за 10 минут",UCDF_NIAEkcAUvzxe1DUzaQA,Rozetked,2020-09-30,372540,24345,1052,3183,286793409,1240000,904,20,3,1073,1466.02001953125,2020-09-29,1451.02001953125,2020-10-06
_yPpNMObROA,Google Pixel 3 Review: Tough Call,UCSOpcUkE-is7u7c4AkLgqTw,MrMobile [Michael Fisher],2018-10-25,748093,16752,464,1557,161327429,1050000,413,505,156,234,1057.1199951171877,2018-10-24,1090.5799560546877,2018-10-31
rcfItdQddZE,Google Pixel Buds 2020 Review: This Is More Like It!,UCSOpcUkE-is7u7c4AkLgqTw,MrMobile [Michael Fisher],2020-04-27,728951,24370,632,1546,161327429,1050000,413,500,161,389,1276.5999755859375,2020-04-24,1317.3199462890625,2020-05-01
OZMWVJDtt6g,Google Pixel 4a: Road Trip Review,UCSOpcUkE-is7u7c4AkLgqTw,MrMobile [Michael Fisher],2020-08-03,549004,25763,456,1692,161327429,1050000,413,549,127,365,1487.949951171875,2020-07-31,1498.3699951171875,2020-08-07
