videoId,title,channelId,channelTitle,Date,videoViewCount,likeCount,dislikeCount,commentCount,channelViewCount,subscriberCount,videoCount,positive_comments,negative_comments,neutral_comments,stock_price_before,stock_date_before,stock_price_after,stock_date_after
6Y8-9VMWysE,iPad愛用App分享❤️｜幫助增加讀書/工作/學習效率,UCZxPrEAHOkNdS2FkaLIGniw,TheKellyYang,2019-12-22,796903,20272,245,815,75155070,657000,205,13,0,443,68.69938659667969,2019-12-20,71.24635314941406,2019-12-27
0FnX1ufiMzM,The NEW iPad Air (2020),UCVYamHliCI9rw1tHR1xbkfw,Dave Lee,2020-10-21,772574,30286,529,1902,554076448,3150000,551,455,140,490,117.3076171875,2020-10-20,116.39917755126952,2020-10-27
gwbgJQishg8,أول مره في حياتي اجرب اي باد | iPad Pro 2020 !,UCv2u1432CnTCiLtvSFRKYNw,Abdallah Rakha عبد الله رخا,2020-08-15,704787,57149,1269,1886,140416361,1950000,305,15,1,939,114.70960235595705,2020-08-14,124.15579986572266,2020-08-21
QPZOU6KsZRI,I Tested ½ a Paperlike Screen Protector on my iPad for 2 weeks. Here’s What Happened,UC1hiI8TEoA0db5HhU4gbsUg,MobileReviewsEh,2020-08-02,715532,17881,462,1364,47269839,262000,1056,254,59,127,105.8860855102539,2020-07-31,110.92113494873048,2020-08-07
58rojblYzqk,iPad -VS- Galaxy Tab S6 Lite,UClozNP-QPyVatzpGKC25s0A,Brad Cowboy,2020-05-28,675429,13498,401,1413,51148097,437000,352,161,35,168,79.24764251708984,2020-05-27,80.99398040771484,2020-06-03
SMkeVHscSPM,Galaxy Tab S7+ -VS- iPad Pro - Smackdown,UClozNP-QPyVatzpGKC25s0A,Brad Cowboy,2020-09-11,485247,12003,486,1757,51148097,437000,352,322,63,189,113.29454040527344,2020-09-10,110.14996337890624,2020-09-17
1G5fF8ReqqY,iPad Air 4 Review - Who Needs an iPad Pro?,UClozNP-QPyVatzpGKC25s0A,Brad Cowboy,2020-10-21,201724,5626,99,730,51148097,437000,352,207,47,168,117.3076171875,2020-10-20,116.39917755126952,2020-10-27
fPT4YrSpGrE,iPad Buyers Guide for Artists - IPad Air 4 vs Pro vs Mini vs 8th gen,UClozNP-QPyVatzpGKC25s0A,Brad Cowboy,2020-10-26,97769,3583,56,491,51148097,437000,352,137,25,92,114.84187316894531,2020-10-23,108.67251586914062,2020-10-30
MEwdW7HGHFE,3 KLEUREN TEKEN CHALLENGE OP DE iPAD PRO!,UCANa7EO3GwG7fzEMO-fVRWQ,MeisjeDjamila,2020-01-19,637862,38280,1128,2649,686162050,1330000,961,56,18,458,78.35869598388672,2020-01-17,78.25543975830078,2020-01-24
ITzy5J3j5Is,How to use Slide Over on your iPad — Apple Support,UCYFQ33UIPERYx8-ZHucZbDA,Apple Support,2019-09-24,629847,6689,198,224,54032405,724000,261,20,9,25,53.61062240600586,2019-09-23,54.89745330810547,2019-09-30
