videoId,title,channelId,channelTitle,Date,videoViewCount,likeCount,dislikeCount,commentCount,channelViewCount,subscriberCount,videoCount,positive_comments,negative_comments,neutral_comments,stock_price_before,stock_date_before,stock_price_after,stock_date_after
CKj6vXPq72U,XBOX Series S Teardown | MVG,UCjFaPUcJU1vwk193mnW_w1w,Modern Vintage Gamer,2020-11-09,275777,14089,417,2063,82860714,536000,306,542,183,374,223.1358184814453,2020-11-06,215.94464111328125,2020-11-13
y6wCMIREZgc,Call of Duty Warzone running at 120FPS on Xbox Series X!,UCw7FkXsC00lH2v2yB5LQoYA,jackfrags,2020-11-14,664266,13536,336,2578,1242906596,3530000,2731,422,138,470,215.94464111328125,2020-11-13,210.38999938964844,2020-11-20
KUDibq_GDe0,Forza Horizon 4 - Xbox Series X vs Xbox One X - AMAZING DIFFERENCE!!!!,UC4BEiuqPdmsRHjS8LbhUmWg,Don Joewon Song,2020-11-05,655506,15530,669,1479,84449614,539000,493,373,168,345,215.824951171875,2020-11-04,215.9845428466797,2020-11-11
Xh49Nto6qLo,Forza Horizon 4 - Xbox Series X vs Xbox One X - 4K 60FPS - Ultimate Comparison!!!,UC4BEiuqPdmsRHjS8LbhUmWg,Don Joewon Song,2020-11-07,468894,10765,370,1475,84449614,539000,493,319,92,228,223.1358184814453,2020-11-06,215.94464111328125,2020-11-13
OLK-QDmSPx0,PLAYSTATION 5 o XBOX X → ESTO SE DEFINE EN EL FIFA!!!!!!!,UCFOSg71CRAJ58IPuV_-jMbw,Tecnonauta,2020-12-04,619780,34650,891,2339,723138200,6250000,1218,62,31,1007,214.2400054931641,2020-12-03,214.2899932861328,2020-12-07
sMCcsSzSMws,XBOX series X REVIEW + GAMEPLAY -sobredosis de TERAFLOPS-,UCYkoAtIMi6oFG_8SO5YrauQ,clipset,2020-11-05,619243,32493,1005,4951,403003627,2350000,1982,65,40,994,215.824951171875,2020-11-04,215.9845428466797,2020-11-11
JwUdH6qKKwc,Xbox series S PORTATIL -KIT para JUGAR en cualquier lado-,UCYkoAtIMi6oFG_8SO5YrauQ,clipset,2020-12-03,77396,3766,155,418,403003627,2350000,1982,17,7,171,215.3699951171875,2020-12-02,214.2899932861328,2020-12-07
-Jb3-V3nAWE,Should Your Boyfriend Get a PS5 or Xbox Series X?,UC2eEGT06FrWFU6VBnPOR9lg,Girlfriend Reviews,2020-11-25,645334,47209,945,2827,96126597,1130000,79,550,139,411,213.8600006103516,2020-11-24,216.2100067138672,2020-12-01
smcND3jBtvo,"Top 12 Awesome Upcoming Games of 2019 (PS4, Xbox One, PC &amp; Nintendo Switch)",UCbDuARPGsQJBG8dELL-37zw,GAMEOST,2018-11-20,589335,3997,712,253,261765840,514000,222,36,19,27,102.01492309570312,2018-11-19,103.81885528564452,2018-11-26
PIGbvnPV8T4,"TOP 10 NEW Upcoming Games of 2019 (PS4, XBOX ONE, PC)",UCbDuARPGsQJBG8dELL-37zw,GAMEOST,2019-04-17,318307,2108,149,127,261765840,514000,222,25,11,19,118.26570129394531,2019-04-16,122.8388671875,2019-04-23
fYtJWIxt3-M,Inside the Xbox Series S,UCjBp_7RuDBUYbd1LegWEJ8g,Xbox,2020-09-09,581365,32186,903,2455,963968005,4310000,8658,364,98,562,202.1308135986328,2020-09-08,208.23483276367188,2020-09-15
nDhVZlOJJvo,Xbox One X Cyberpunk 2077 Limited Edition Bundle,UCjBp_7RuDBUYbd1LegWEJ8g,Xbox,2020-04-20,362212,11776,1344,909,963968005,4310000,8658,191,90,368,177.2105255126953,2020-04-17,173.19203186035156,2020-04-24
AWNW9npvYTM,Unboxing the Xbox Series S,UCjBp_7RuDBUYbd1LegWEJ8g,Xbox,2020-11-10,353406,17338,468,1021,963968005,4310000,8658,209,65,320,217.8197326660156,2020-11-09,216.6627655029297,2020-11-16
tId1p7k2r4o,Disney+ Comes to Xbox Game Pass Ultimate Perks This Holiday,UCjBp_7RuDBUYbd1LegWEJ8g,Xbox,2020-11-09,318579,16010,282,1207,963968005,4310000,8658,205,108,344,223.1358184814453,2020-11-06,215.94464111328125,2020-11-13
4VMYpJFGQYM,"Inside Xbox April 2020 Live Show – ft. Grounded, Gears Tactics, more!",UCjBp_7RuDBUYbd1LegWEJ8g,Xbox,2020-04-07,272500,9525,1008,333,963968005,4310000,8658,63,19,84,163.98423767089844,2020-04-06,164.22235107421875,2020-04-13
7__uoFZBlf0,Xbox - November 2020 Games with Gold,UCjBp_7RuDBUYbd1LegWEJ8g,Xbox,2020-10-29,255375,7259,4738,1651,963968005,4310000,8658,350,171,348,202.1507568359375,2020-10-28,215.824951171875,2020-11-04
RTlo6NbOhXw,Ten Ways to Get Ready for Xbox Series X|S,UCjBp_7RuDBUYbd1LegWEJ8g,Xbox,2020-11-06,238444,14087,470,1322,963968005,4310000,8658,257,65,450,222.7069396972656,2020-11-05,214.87744140625,2020-11-12
mX6ytsNtlqA,WHATS POPPIN? EA Play just hopped in Xbox Game Pass Ultimate,UCjBp_7RuDBUYbd1LegWEJ8g,Xbox,2020-11-10,237029,16367,222,1391,963968005,4310000,8658,259,103,475,217.8197326660156,2020-11-09,216.6627655029297,2020-11-16
h-6BgRPsPXQ,"New Games, Next-Gen Upgrades, and Great Xbox Game Pass Additions | This Week on Xbox",UCjBp_7RuDBUYbd1LegWEJ8g,Xbox,2020-12-04,59672,2233,83,181,963968005,4310000,8658,32,19,49,214.2400054931641,2020-12-03,214.2899932861328,2020-12-07
tYPLdPgbHbQ,Catch up on Xbox News | This Week on Xbox,UCjBp_7RuDBUYbd1LegWEJ8g,Xbox,2020-07-17,51310,2302,94,216,963968005,4310000,8658,28,10,66,202.8970489501953,2020-07-16,201.5239715576172,2020-07-23
fyArCzlmiKM,Xbox Series X – Lucid Odyssey by Taika Waititi,UCjBp_7RuDBUYbd1LegWEJ8g,Xbox,2020-12-07,87317,6749,509,452,963968005,4310000,8658,105,31,213,214.3600006103516,2020-12-04,,
